SessionID,UserID,Timestamp,PageType,DeviceType,Country,ReferralSource,TimeOnPage_seconds,ItemsInCart,Purchased
session_11,user_2760,2025-06-11 20:28:26,product_page,Tablet,USA,Direct,81,4,0
session_11,user_2760,2025-06-11 20:30:19,cart,Tablet,USA,Direct,113,4,0
session_12,user_2907,2025-03-31 11:11:46,home,Mobile,France,Email,31,0,0
session_12,user_2907,2025-03-31 11:14:13,product_page,Mobile,France,Email,147,1,0
session_12,user_2907,2025-03-31 11:15:45,cart,Mobile,France,Email,92,1,0
session_13,user_1058,2025-08-01 19:45:33,home,Tablet,USA,Direct,42,0,0
session_13,user_1058,2025-08-01 19:48:24,product_page,Tablet,USA,Direct,171,5,0
session_13,user_1058,2025-08-01 19:50:48,cart,Tablet,USA,Direct,144,5,0
session_14,user_1884,2025-04-14 13:14:53,home,Mobile,Australia,Email,130,0,0
session_14,user_1884,2025-04-14 13:16:10,product_page,Mobile,Australia,Email,77,0,0
session_15,user_2270,2025-05-04 18:51:40,home,Mobile,Australia,Email,178,0,0
session_15,user_2270,2025-05-04 18:53:36,product_page,Mobile,Australia,Email,116,5,0
session_15,user_2270,2025-05-04 18:55:53,cart,Mobile,Australia,Email,137,5,0
session_16,user_1016,2025-07-01 07:57:56,home,Mobile,USA,Email,163,0,0
session_17,user_1629,2025-06-02 13:09:58,home,Mobile,USA,Social Media,47,0,0
session_17,user_1629,2025-06-02 13:12:07,product_page,Mobile,USA,Social Media,129,3,0
session_17,user_1629,2025-06-02 13:13:25,cart,Mobile,USA,Social Media,78,3,0
session_18,user_1797,2025-05-11 10:48:00,home,Mobile,USA,Email,78,0,1
session_18,user_1797,2025-05-11 10:49:44,product_page,Mobile,USA,Email,104,0,1
session_18,user_1797,2025-05-11 10:50:35,cart,Mobile,USA,Email,51,0,1
session_18,user_1797,2025-05-11 10:52:57,checkout,Mobile,USA,Email,142,2,1
session_18,user_1797,2025-05-11 10:53:55,confirmation,Mobile,USA,Email,58,0,1
session_19,user_2000,2025-04-15 22:13:33,home,Tablet,USA,Email,150,0,0
session_19,user_2000,2025-04-15 22:14:07,product_page,Tablet,USA,Email,34,4,0
session_20,user_2182,2025-03-18 04:06:06,home,Desktop,Canada,Direct,119,0,0
session_20,user_2182,2025-03-18 04:07:30,product_page,Desktop,Canada,Direct,84,0,0
session_21,user_2035,2025-02-14 06:39:24,home,Tablet,Australia,Google,32,0,0
session_21,user_2035,2025-02-14 06:40:39,product_page,Tablet,Australia,Google,75,5,0
session_22,user_2046,2025-02-24 18:32:54,home,Desktop,UK,Social Media,167,0,0
session_23,user_2546,2025-04-18 05:34:24,home,Tablet,France,Direct,63,0,1
session_23,user_2546,2025-04-18 05:36:53,product_page,Tablet,France,Direct,149,4,1
session_23,user_2546,2025-04-18 05:39:49,cart,Tablet,France,Direct,176,4,1
session_23,user_2546,2025-04-18 05:41:22,checkout,Tablet,France,Direct,93,4,1
session_23,user_2546,2025-04-18 05:42:40,confirmation,Tablet,France,Direct,78,0,1
session_24,user_2666,2025-05-29 02:09:07,home,Desktop,France,Google,20,0,0
session_24,user_2666,2025-05-29 02:10:36,product_page,Desktop,France,Google,89,0,0
session_25,user_1143,2025-05-06 03:32:59,home,Tablet,USA,Google,151,0,0
session_25,user_1143,2025-05-06 03:35:59,product_page,Tablet,USA,Google,180,3,0
session_26,user_2067,2025-05-09 15:42:12,home,Desktop,France,Social Media,69,0,0
session_26,user_2067,2025-05-09 15:42:45,product_page,Desktop,France,Social Media,33,0,0
session_27,user_1310,2025-03-19 23:40:45,home,Mobile,Australia,Email,131,0,0
session_28,user_1758,2025-08-26 05:06:48,home,Mobile,Germany,Google,141,0,0
session_29,user_2181,2025-04-12 13:30:44,home,Tablet,India,Social Media,136,0,0
session_29,user_2181,2025-04-12 13:32:47,product_page,Tablet,India,Social Media,123,0,0
session_30,user_1114,2025-08-10 18:55:46,home,Tablet,France,Social Media,108,0,0
session_30,user_1114,2025-08-10 18:58:07,product_page,Tablet,France,Social Media,141,1,0
session_31,user_2282,2025-04-22 07:00:23,home,Mobile,Germany,Email,115,0,0
session_31,user_2282,2025-04-22 07:01:10,product_page,Mobile,Germany,Email,47,4,0
session_32,user_1995,2025-08-09 19:10:33,home,Desktop,Germany,Email,35,0,0
session_33,user_1580,2025-07-07 00:26:21,home,Desktop,UK,Direct,55,0,0
session_33,user_1580,2025-07-07 00:28:29,product_page,Desktop,UK,Direct,128,5,0
session_34,user_1912,2025-08-09 14:02:55,home,Tablet,USA,Google,84,0,1
session_34,user_1912,2025-08-09 14:04:53,product_page,Tablet,USA,Google,118,0,1
session_34,user_1912,2025-08-09 14:07:39,cart,Tablet,USA,Google,166,0,1
session_34,user_1912,2025-08-09 14:08:36,checkout,Tablet,USA,Google,57,1,1
session_34,user_1912,2025-08-09 14:10:56,confirmation,Tablet,USA,Google,140,0,1
session_35,user_2872,2025-06-23 22:52:19,home,Mobile,USA,Social Media,119,0,0
session_35,user_2872,2025-06-23 22:53:52,product_page,Mobile,USA,Social Media,93,0,0
session_36,user_1983,2025-07-12 08:13:47,home,Tablet,Canada,Direct,163,0,0
session_36,user_1983,2025-07-12 08:15:48,product_page,Tablet,Canada,Direct,121,2,0
session_37,user_1099,2025-03-21 12:20:03,home,Mobile,Australia,Direct,119,0,0
session_37,user_1099,2025-03-21 12:22:57,product_page,Mobile,Australia,Direct,174,1,0
session_37,user_1099,2025-03-21 12:24:32,cart,Mobile,Australia,Direct,95,1,0
session_37,user_1099,2025-03-21 12:26:09,checkout,Mobile,Australia,Direct,97,1,0
session_38,user_1563,2025-05-02 01:18:12,home,Desktop,Germany,Google,148,0,0
session_39,user_1524,2025-05-30 00:12:04,home,Desktop,India,Google,173,0,1
session_39,user_1524,2025-05-30 00:12:31,product_page,Desktop,India,Google,27,3,1
session_39,user_1524,2025-05-30 00:14:25,cart,Desktop,India,Google,114,3,1
session_39,user_1524,2025-05-30 00:15:08,checkout,Desktop,India,Google,43,3,1
session_39,user_1524,2025-05-30 00:15:54,confirmation,Desktop,India,Google,46,0,1
session_40,user_1626,2025-02-18 11:25:39,home,Tablet,UK,Direct,162,0,0
session_40,user_1626,2025-02-18 11:27:14,product_page,Tablet,UK,Direct,95,0,0
session_40,user_1626,2025-02-18 11:27:44,cart,Tablet,UK,Direct,30,4,0
session_40,user_1626,2025-02-18 11:29:09,checkout,Tablet,UK,Direct,85,4,0
session_41,user_2521,2025-05-21 01:00:06,home,Desktop,India,Social Media,166,0,0
session_42,user_1086,2025-04-05 02:30:40,home,Desktop,Australia,Social Media,94,0,0
session_43,user_1200,2025-05-04 23:24:28,home,Desktop,UK,Google,114,0,0
session_43,user_1200,2025-05-04 23:27:25,product_page,Desktop,UK,Google,177,4,0
session_44,user_1390,2025-03-10 08:18:17,home,Desktop,Australia,Email,39,0,0
session_45,user_1121,2025-08-07 00:20:02,home,Mobile,USA,Google,25,0,0
session_46,user_2865,2025-07-11 01:55:27,home,Mobile,Germany,Social Media,80,0,0
session_47,user_2673,2025-04-13 09:15:08,home,Desktop,UK,Email,32,0,1
session_47,user_2673,2025-04-13 09:16:40,product_page,Desktop,UK,Email,92,0,1
session_47,user_2673,2025-04-13 09:18:53,cart,Desktop,UK,Email,133,1,1
session_47,user_2673,2025-04-13 09:20:35,checkout,Desktop,UK,Email,102,1,1
session_47,user_2673,2025-04-13 09:23:05,confirmation,Desktop,UK,Email,150,0,1
session_48,user_1035,2025-02-04 00:57:05,home,Desktop,Australia,Social Media,152,0,0
session_48,user_1035,2025-02-04 00:57:51,product_page,Desktop,Australia,Social Media,46,2,0
session_49,user_1439,2025-06-04 19:27:55,home,Tablet,USA,Email,124,0,1
session_49,user_1439,2025-06-04 19:30:21,product_page,Tablet,USA,Email,146,2,1
session_49,user_1439,2025-06-04 19:31:52,cart,Tablet,USA,Email,91,2,1
session_49,user_1439,2025-06-04 19:33:10,checkout,Tablet,USA,Email,78,2,1
session_49,user_1439,2025-06-04 19:33:47,confirmation,Tablet,USA,Email,37,0,1
session_50,user_1609,2025-06-27 16:43:33,home,Mobile,UK,Direct,129,0,0
session_50,user_1609,2025-06-27 16:45:51,product_page,Mobile,UK,Direct,138,0,0
session_51,user_2808,2025-08-21 18:07:50,home,Desktop,France,Social Media,82,0,1
session_51,user_2808,2025-08-21 18:10:37,product_page,Desktop,France,Social Media,167,0,1
session_51,user_2808,2025-08-21 18:11:38,cart,Desktop,France,Social Media,61,5,1
session_51,user_2808,2025-08-21 18:13:38,checkout,Desktop,France,Social Media,120,5,1
session_51,user_2808,2025-08-21 18:15:51,confirmation,Desktop,France,Social Media,133,0,1
session_52,user_1532,2025-06-09 14:55:06,home,Tablet,Canada,Social Media,106,0,0
session_52,user_1532,2025-06-09 14:57:09,product_page,Tablet,Canada,Social Media,123,0,0
session_53,user_2816,2025-01-24 13:06:02,home,Desktop,India,Email,19,0,0
session_54,user_1856,2025-07-15 22:13:28,home,Desktop,India,Email,146,0,0
session_54,user_1856,2025-07-15 22:13:54,product_page,Desktop,India,Email,26,4,0
session_55,user_2771,2025-02-18 14:01:18,home,Tablet,UK,Google,66,0,0
session_55,user_2771,2025-02-18 14:02:18,product_page,Tablet,UK,Google,60,0,0
session_56,user_1425,2025-03-17 06:59:07,home,Tablet,USA,Direct,79,0,0
session_56,user_1425,2025-03-17 07:00:27,product_page,Tablet,USA,Direct,80,4,0
session_57,user_1979,2025-06-03 13:56:17,home,Mobile,Germany,Social Media,147,0,1
session_57,user_1979,2025-06-03 13:56:51,product_page,Mobile,Germany,Social Media,34,0,1
session_57,user_1979,2025-06-03 13:58:45,cart,Mobile,Germany,Social Media,114,2,1
session_57,user_1979,2025-06-03 13:59:52,checkout,Mobile,Germany,Social Media,67,2,1
session_57,user_1979,2025-06-03 14:00:29,confirmation,Mobile,Germany,Social Media,37,0,1
session_58,user_2596,2025-02-16 17:27:17,home,Mobile,UK,Email,94,0,0
session_59,user_2950,2025-07-10 21:44:11,home,Desktop,Australia,Email,69,0,0
session_59,user_2950,2025-07-10 21:47:02,product_page,Desktop,Australia,Email,171,0,0
session_60,user_2486,2025-05-09 13:10:09,home,Desktop,USA,Email,128,0,0
session_61,user_1519,2025-03-01 18:53:35,home,Desktop,Germany,Social Media,133,0,0
session_61,user_1519,2025-03-01 18:54:47,product_page,Desktop,Germany,Social Media,72,2,0
session_62,user_2282,2025-08-30 13:35:34,home,Desktop,Germany,Email,31,0,0
session_62,user_2282,2025-08-30 13:36:52,product_page,Desktop,Germany,Email,78,2,0
session_63,user_2012,2025-08-14 15:12:15,home,Desktop,India,Social Media,134,0,1
session_63,user_2012,2025-08-14 15:13:10,product_page,Desktop,India,Social Media,55,5,1
session_63,user_2012,2025-08-14 15:14:24,cart,Desktop,India,Social Media,74,5,1
session_63,user_2012,2025-08-14 15:16:32,checkout,Desktop,India,Social Media,128,5,1
session_63,user_2012,2025-08-14 15:16:56,confirmation,Desktop,India,Social Media,24,0,1
session_64,user_1412,2025-01-06 22:18:14,home,Tablet,Canada,Direct,80,0,0
session_64,user_1412,2025-01-06 22:18:33,product_page,Tablet,Canada,Direct,19,0,0
session_64,user_1412,2025-01-06 22:19:18,cart,Tablet,Canada,Direct,45,0,0
session_65,user_2277,2025-03-05 19:49:12,home,Tablet,India,Google,153,0,1
session_65,user_2277,2025-03-05 19:49:41,product_page,Tablet,India,Google,29,1,1
session_65,user_2277,2025-03-05 19:52:19,cart,Tablet,India,Google,158,1,1
session_65,user_2277,2025-03-05 19:55:01,checkout,Tablet,India,Google,162,1,1
session_65,user_2277,2025-03-05 19:57:16,confirmation,Tablet,India,Google,135,0,1
session_66,user_2279,2025-03-17 04:23:43,home,Mobile,UK,Social Media,69,0,0
session_66,user_2279,2025-03-17 04:24:58,product_page,Mobile,UK,Social Media,75,2,0
session_67,user_2199,2025-05-20 22:42:31,home,Mobile,UK,Direct,44,0,0
session_67,user_2199,2025-05-20 22:43:57,product_page,Mobile,UK,Direct,86,4,0
session_68,user_2502,2025-02-02 23:11:17,home,Desktop,Germany,Social Media,17,0,1
session_68,user_2502,2025-02-02 23:11:55,product_page,Desktop,Germany,Social Media,38,0,1
session_68,user_2502,2025-02-02 23:12:16,cart,Desktop,Germany,Social Media,21,0,1
session_68,user_2502,2025-02-02 23:12:33,checkout,Desktop,Germany,Social Media,17,2,1
session_68,user_2502,2025-02-02 23:15:25,confirmation,Desktop,Germany,Social Media,172,0,1
session_69,user_2266,2025-08-07 15:18:08,home,Mobile,France,Social Media,27,0,0
session_69,user_2266,2025-08-07 15:20:32,product_page,Mobile,France,Social Media,144,0,0
session_70,user_2567,2025-02-27 02:03:59,home,Tablet,Australia,Email,28,0,1
session_70,user_2567,2025-02-27 02:06:03,product_page,Tablet,Australia,Email,124,5,1
session_70,user_2567,2025-02-27 02:06:30,cart,Tablet,Australia,Email,27,5,1
session_70,user_2567,2025-02-27 02:09:04,checkout,Tablet,Australia,Email,154,5,1
session_70,user_2567,2025-02-27 02:09:33,confirmation,Tablet,Australia,Email,29,0,1
session_71,user_2262,2025-02-03 02:46:00,home,Mobile,Canada,Social Media,54,0,1
session_71,user_2262,2025-02-03 02:46:44,product_page,Mobile,Canada,Social Media,44,0,1
session_71,user_2262,2025-02-03 02:47:56,cart,Mobile,Canada,Social Media,72,0,1
session_71,user_2262,2025-02-03 02:48:29,checkout,Mobile,Canada,Social Media,33,3,1
session_71,user_2262,2025-02-03 02:49:59,confirmation,Mobile,Canada,Social Media,90,0,1
session_72,user_1285,2025-06-14 11:02:04,home,Desktop,France,Direct,149,0,1
session_72,user_1285,2025-06-14 11:04:10,product_page,Desktop,France,Direct,126,2,1
session_72,user_1285,2025-06-14 11:06:22,cart,Desktop,France,Direct,132,2,1
session_72,user_1285,2025-06-14 11:07:53,checkout,Desktop,France,Direct,91,2,1
session_72,user_1285,2025-06-14 11:09:54,confirmation,Desktop,France,Direct,121,0,1
session_73,user_2436,2025-01-15 00:15:21,home,Desktop,Germany,Email,100,0,0
session_73,user_2436,2025-01-15 00:17:12,product_page,Desktop,Germany,Email,111,0,0
session_74,user_2826,2025-03-13 16:04:05,home,Mobile,Germany,Google,77,0,0
session_74,user_2826,2025-03-13 16:06:55,product_page,Mobile,Germany,Google,170,0,0
session_75,user_1091,2025-03-11 08:11:01,home,Desktop,Canada,Email,139,0,0
session_76,user_2594,2025-08-24 23:07:24,home,Desktop,USA,Email,131,0,0
session_77,user_1718,2025-06-26 15:44:59,home,Mobile,Australia,Social Media,37,0,0
session_77,user_1718,2025-06-26 15:47:10,product_page,Mobile,Australia,Social Media,131,0,0
session_78,user_1621,2025-08-01 08:20:58,home,Mobile,USA,Social Media,164,0,0
session_78,user_1621,2025-08-01 08:23:06,product_page,Mobile,USA,Social Media,128,2,0
session_79,user_2810,2025-07-13 02:29:02,home,Desktop,Canada,Social Media,151,0,0
session_79,user_2810,2025-07-13 02:30:04,product_page,Desktop,Canada,Social Media,62,4,0
session_80,user_2022,2025-03-12 13:18:44,home,Mobile,Australia,Social Media,121,0,0
session_80,user_2022,2025-03-12 13:19:57,product_page,Mobile,Australia,Social Media,73,1,0
session_81,user_2467,2025-01-10 01:15:25,home,Desktop,Germany,Direct,108,0,0
session_81,user_2467,2025-01-10 01:15:55,product_page,Desktop,Germany,Direct,30,0,0
session_82,user_1453,2025-01-24 22:09:59,home,Mobile,France,Google,179,0,0
session_82,user_1453,2025-01-24 22:12:46,product_page,Mobile,France,Google,167,0,0
session_83,user_1577,2025-08-01 15:43:00,home,Tablet,Australia,Direct,114,0,0
session_83,user_1577,2025-08-01 15:43:48,product_page,Tablet,Australia,Direct,48,4,0
session_83,user_1577,2025-08-01 15:44:12,cart,Tablet,Australia,Direct,24,4,0
session_84,user_1264,2025-04-19 11:59:52,home,Desktop,France,Email,132,0,1
session_84,user_1264,2025-04-19 12:01:42,product_page,Desktop,France,Email,110,5,1
session_84,user_1264,2025-04-19 12:02:06,cart,Desktop,France,Email,24,5,1
session_84,user_1264,2025-04-19 12:02:31,checkout,Desktop,France,Email,25,5,1
session_84,user_1264,2025-04-19 12:02:59,confirmation,Desktop,France,Email,28,0,1
session_85,user_1202,2025-05-09 07:33:46,home,Mobile,USA,Email,40,0,0
session_85,user_1202,2025-05-09 07:34:40,product_page,Mobile,USA,Email,54,5,0
session_86,user_1961,2025-07-31 15:29:10,home,Mobile,India,Direct,166,0,0
session_86,user_1961,2025-07-31 15:30:13,product_page,Mobile,India,Direct,63,3,0
session_87,user_1343,2025-07-17 04:23:56,home,Tablet,India,Email,56,0,0
session_87,user_1343,2025-07-17 04:26:41,product_page,Tablet,India,Email,165,2,0
session_88,user_2109,2025-04-29 10:09:31,home,Desktop,France,Social Media,163,0,0
session_88,user_2109,2025-04-29 10:10:44,product_page,Desktop,France,Social Media,73,2,0
session_88,user_2109,2025-04-29 10:11:02,cart,Desktop,France,Social Media,18,2,0
session_89,user_1300,2025-03-21 17:21:03,home,Mobile,France,Direct,74,0,1
session_89,user_1300,2025-03-21 17:21:53,product_page,Mobile,France,Direct,50,1,1
session_89,user_1300,2025-03-21 17:24:26,cart,Mobile,France,Direct,153,1,1
session_89,user_1300,2025-03-21 17:26:17,checkout,Mobile,France,Direct,111,1,1
session_89,user_1300,2025-03-21 17:29:01,confirmation,Mobile,France,Direct,164,0,1
session_90,user_2621,2025-06-22 16:00:12,home,Tablet,Germany,Google,28,0,0
session_90,user_2621,2025-06-22 16:02:30,product_page,Tablet,Germany,Google,138,5,0
session_90,user_2621,2025-06-22 16:05:07,cart,Tablet,Germany,Google,157,5,0
session_91,user_2705,2025-02-20 19:25:41,home,Desktop,France,Social Media,116,0,0
session_92,user_2740,2025-01-30 07:01:49,home,Mobile,UK,Email,17,0,0
session_92,user_2740,2025-01-30 07:02:05,product_page,Mobile,UK,Email,16,2,0
session_92,user_2740,2025-01-30 07:04:24,cart,Mobile,UK,Email,139,2,0
session_93,user_2540,2025-01-16 17:17:05,home,Desktop,India,Google,55,0,1
session_93,user_2540,2025-01-16 17:18:57,product_page,Desktop,India,Google,112,1,1
session_93,user_2540,2025-01-16 17:20:30,cart,Desktop,India,Google,93,1,1
session_93,user_2540,2025-01-16 17:23:23,checkout,Desktop,India,Google,173,1,1
session_93,user_2540,2025-01-16 17:25:27,confirmation,Desktop,India,Google,124,0,1
session_94,user_1022,2025-01-19 20:17:08,home,Mobile,Germany,Google,142,0,0
session_95,user_2381,2025-03-03 09:26:35,home,Mobile,Australia,Direct,136,0,0
session_95,user_2381,2025-03-03 09:28:33,product_page,Mobile,Australia,Direct,118,4,0
session_96,user_2993,2025-03-07 01:58:20,home,Desktop,Australia,Google,109,0,0
session_96,user_2993,2025-03-07 01:58:42,product_page,Desktop,Australia,Google,22,0,0
session_96,user_2993,2025-03-07 01:59:39,cart,Desktop,Australia,Google,57,3,0
session_97,user_2713,2025-01-01 20:58:48,home,Tablet,Germany,Email,90,0,0
session_97,user_2713,2025-01-01 20:59:16,product_page,Tablet,Germany,Email,28,2,0
session_98,user_1729,2025-03-22 04:55:19,home,Tablet,Canada,Social Media,94,0,0
session_98,user_1729,2025-03-22 04:56:19,product_page,Tablet,Canada,Social Media,60,1,0
session_98,user_1729,2025-03-22 04:57:31,cart,Tablet,Canada,Social Media,72,1,0
session_99,user_2300,2025-08-18 05:49:00,home,Mobile,USA,Direct,118,0,1
session_99,user_2300,2025-08-18 05:51:08,product_page,Mobile,USA,Direct,128,0,1
session_99,user_2300,2025-08-18 05:51:37,cart,Mobile,USA,Direct,29,4,1
session_99,user_2300,2025-08-18 05:52:26,checkout,Mobile,USA,Direct,49,4,1
session_99,user_2300,2025-08-18 05:55:15,confirmation,Mobile,USA,Direct,169,0,1
session_100,user_1233,2025-04-02 11:24:36,home,Desktop,USA,Email,36,0,0
session_100,user_1233,2025-04-02 11:25:41,product_page,Desktop,USA,Email,65,1,0
session_101,user_1984,2025-04-14 06:47:08,home,Mobile,France,Direct,128,0,1
session_101,user_1984,2025-04-14 06:47:50,product_page,Mobile,France,Direct,42,0,1
session_101,user_1984,2025-04-14 06:49:32,cart,Mobile,France,Direct,102,0,1
session_101,user_1984,2025-04-14 06:51:29,checkout,Mobile,France,Direct,117,2,1
session_101,user_1984,2025-04-14 06:54:24,confirmation,Mobile,France,Direct,175,0,1
session_102,user_1480,2025-02-12 23:06:34,home,Desktop,Australia,Direct,69,0,0
session_102,user_1480,2025-02-12 23:08:57,product_page,Desktop,Australia,Direct,143,0,0
session_103,user_2791,2025-01-10 20:14:17,home,Desktop,France,Social Media,90,0,0
session_103,user_2791,2025-01-10 20:15:15,product_page,Desktop,France,Social Media,58,3,0
session_104,user_2754,2025-07-22 13:46:16,home,Tablet,UK,Social Media,15,0,0
session_104,user_2754,2025-07-22 13:46:55,product_page,Tablet,UK,Social Media,39,4,0
session_105,user_2525,2025-02-28 20:54:48,home,Mobile,Canada,Social Media,66,0,0
session_105,user_2525,2025-02-28 20:57:01,product_page,Mobile,Canada,Social Media,133,2,0
session_106,user_1524,2025-01-26 20:08:51,home,Desktop,UK,Google,139,0,0
session_106,user_1524,2025-01-26 20:09:57,product_page,Desktop,UK,Google,66,1,0
session_107,user_2173,2025-01-02 05:30:07,home,Mobile,UK,Email,15,0,0
session_107,user_2173,2025-01-02 05:30:37,product_page,Mobile,UK,Email,30,0,0
session_108,user_2167,2025-02-21 13:57:38,home,Mobile,Canada,Email,47,0,0
session_108,user_2167,2025-02-21 13:58:28,product_page,Mobile,Canada,Email,50,5,0
session_109,user_1774,2025-07-30 14:11:29,home,Mobile,Canada,Google,149,0,1
session_109,user_1774,2025-07-30 14:12:01,product_page,Mobile,Canada,Google,32,0,1
session_109,user_1774,2025-07-30 14:14:53,cart,Mobile,Canada,Google,172,2,1
session_109,user_1774,2025-07-30 14:17:14,checkout,Mobile,Canada,Google,141,2,1
session_109,user_1774,2025-07-30 14:17:56,confirmation,Mobile,Canada,Google,42,0,1
session_110,user_2713,2025-01-30 08:29:05,home,Tablet,Canada,Direct,35,0,1
session_110,user_2713,2025-01-30 08:30:09,product_page,Tablet,Canada,Direct,64,3,1
session_110,user_2713,2025-01-30 08:31:03,cart,Tablet,Canada,Direct,54,3,1
session_110,user_2713,2025-01-30 08:33:25,checkout,Tablet,Canada,Direct,142,3,1
session_110,user_2713,2025-01-30 08:34:15,confirmation,Tablet,Canada,Direct,50,0,1
session_111,user_2430,2025-08-27 10:04:00,home,Desktop,Germany,Email,45,0,0
session_111,user_2430,2025-08-27 10:05:11,product_page,Desktop,Germany,Email,71,0,0
session_112,user_2488,2025-06-22 06:14:23,home,Tablet,Canada,Social Media,129,0,0
session_112,user_2488,2025-06-22 06:15:35,product_page,Tablet,Canada,Social Media,72,3,0
session_113,user_1030,2025-01-24 01:46:09,home,Tablet,UK,Email,21,0,0
session_113,user_1030,2025-01-24 01:48:10,product_page,Tablet,UK,Email,121,4,0
session_114,user_2803,2025-03-07 16:44:46,home,Mobile,Germany,Email,79,0,0
session_114,user_2803,2025-03-07 16:45:08,product_page,Mobile,Germany,Email,22,0,0
session_115,user_2619,2025-04-17 22:20:10,home,Tablet,UK,Direct,80,0,0
session_115,user_2619,2025-04-17 22:21:16,product_page,Tablet,UK,Direct,66,4,0
session_116,user_1385,2025-08-09 08:34:48,home,Tablet,Germany,Email,162,0,0
session_116,user_1385,2025-08-09 08:35:32,product_page,Tablet,Germany,Email,44,0,0
session_117,user_1679,2025-05-04 20:49:01,home,Tablet,UK,Social Media,139,0,0
session_117,user_1679,2025-05-04 20:51:51,product_page,Tablet,UK,Social Media,170,0,0
session_118,user_2114,2025-02-10 09:54:26,home,Mobile,USA,Direct,39,0,0
session_118,user_2114,2025-02-10 09:57:17,product_page,Mobile,USA,Direct,171,0,0
session_119,user_2996,2025-08-06 05:01:41,home,Tablet,UK,Social Media,119,0,1
session_119,user_2996,2025-08-06 05:03:53,product_page,Tablet,UK,Social Media,132,5,1
session_119,user_2996,2025-08-06 05:06:36,cart,Tablet,UK,Social Media,163,5,1
session_119,user_2996,2025-08-06 05:09:04,checkout,Tablet,UK,Social Media,148,5,1
session_119,user_2996,2025-08-06 05:12:01,confirmation,Tablet,UK,Social Media,177,0,1
session_120,user_1976,2025-07-04 20:22:01,home,Mobile,Germany,Social Media,126,0,1
session_120,user_1976,2025-07-04 20:24:42,product_page,Mobile,Germany,Social Media,161,1,1
session_120,user_1976,2025-07-04 20:26:30,cart,Mobile,Germany,Social Media,108,1,1
session_120,user_1976,2025-07-04 20:27:58,checkout,Mobile,Germany,Social Media,88,1,1
session_120,user_1976,2025-07-04 20:30:36,confirmation,Mobile,Germany,Social Media,158,0,1
session_121,user_2762,2025-03-22 20:52:08,home,Tablet,Germany,Email,168,0,0
session_121,user_2762,2025-03-22 20:52:48,product_page,Tablet,Germany,Email,40,1,0
session_121,user_2762,2025-03-22 20:54:23,cart,Tablet,Germany,Email,95,1,0
session_122,user_2875,2025-04-14 17:49:42,home,Desktop,UK,Google,158,0,0
session_122,user_2875,2025-04-14 17:50:24,product_page,Desktop,UK,Google,42,5,0
session_123,user_2142,2025-05-31 18:23:17,home,Mobile,Canada,Social Media,43,0,0
session_123,user_2142,2025-05-31 18:23:39,product_page,Mobile,Canada,Social Media,22,0,0
session_124,user_1156,2025-07-10 12:27:01,home,Desktop,Germany,Social Media,45,0,1
session_124,user_1156,2025-07-10 12:29:49,product_page,Desktop,Germany,Social Media,168,0,1
session_124,user_1156,2025-07-10 12:30:28,cart,Desktop,Germany,Social Media,39,0,1
session_124,user_1156,2025-07-10 12:32:16,checkout,Desktop,Germany,Social Media,108,2,1
session_124,user_1156,2025-07-10 12:33:47,confirmation,Desktop,Germany,Social Media,91,0,1
